ID,Data_de_criacao
UC9SoTt4kJ_qhyBF9k9OGl3g,2022-07-15
UCutJqz56653xV2wwSvut_hQ,2013-10-13
UCLHTn2UQNUpSheL816CNa7w,2021-02-04
UCgr5CkgytiVfdnk4C0M42nQ,2018-03-31
UCJQj2lbG_3w8UrncJd7JZXw,2020-12-25
UCFCtAX45lgHcf4s0vAgAxww,2019-03-18
UCXW4MqCQn-jCaxlX-nn-BYg,2020-02-27
UCxYq8xy0kXKkL9R8y749JQw,2022-03-02
UCGynN2H7DcNjpN7Qng4dZmg,2020-01-22
UCqKNMJ5s_vsf7WkesdBrvQA,2024-03-14
UCsYSgrycXw3JySaCXi4H71A,2019-09-26
UCPJCP_fon2mOMfibbBPUOYw,2020-02-02
UC24T2Vj2uSukiOwWcpG_9fA,2017-01-11
UCv6P5nsS9rP4tDtFlqLU_QQ,2018-05-15
UCMFkwHT8vezg-06EAgL1QNA,2023-10-17
UCyuEAZQzRqhcaLZvQd9ZUNA,2010-01-15
UCyuEAZQzRqhcaLZvQd9ZUNA,2010-01-15
UCEIi7zFR_wE23jFncVtd6-A,2018-10-24
UCLNx5qwV7y4e0ZwqVtvxgMQ,2024-06-21
UClqUSY9SshvuFja6yNXp4nQ,2009-05-28
UCxqB40OYroYH2s1xxf_3Plw,2019-02-16
UCW-8fhiB-bFLt_TH-t11v_w,2021-05-14
UC5CTV3JSdrlo5Pa42QkK8SA,2022-05-25
UCt09C9DPSuOGpHoitbcyCIQ,2022-03-25
UCrqbTAs-OqW0ywKdQDAnQOg,2011-10-19
UCPM3mz0quh1o4KtA1-lO12w,2020-05-07
UCHRCp0CSacVnTVS2Z4x9xYg,2023-03-21
UCEf_Bc-KVd7onSeifS3py9g,2006-03-18
UCIOk-Q5kyDtSRaTIW7hIsng,2020-03-12
UCqmrtFyHzNwmkSdnd-GPCiQ,2015-10-05
UCX7YkU9nEeaoZbkVLVajcMg,2018-01-31
UC3IZKseVpdzPSBaWxBxundA,2008-06-04
UCNiurMpWExWgio2lqldycbA,2019-05-09
UCI2my7nm4HZdkM5JWjB_JXQ,2013-02-10
UCoEIdZkDEZdrCDCJSqwifzw,2022-09-26
UCy9GuRXGTm8TliQ-OJ7KwzA,2011-09-18
UChJI9KrjSgPzv_kfX6yuqhA,2013-10-10
UCi_AquB9uaI3-9xXkuWG7IQ,2021-07-30
UCTyKZzmKi95wxmCg9rU-j6Q,2018-12-20
UCpj_nD9850tykDqIrjtIXdg,2018-05-25
UC1xd0cAOryAMTTG34joEgdg,2018-02-23
UCDFxQgB9Dc_MzxiEKjozWwg,2017-04-18
UC8VTVi8xhBR8qU-MllnFtVA,2023-08-10
UCXIbbUPWKPxzGyfdbAG8mLg,2021-01-03
UCzXvkcnU4Pho3k65564Py2Q,2021-08-11
UC7d3Y_v5O202eo006uvvPzw,2009-12-11
UCoewz-Ub4Nudqqcdq4gWT5w,2020-03-15
UCReBAqqC-hc9d70gOftfitg,2020-03-05
UCfIgNVCiAei8r-haGHDnedg,2013-07-19
UC9Wl5AzCQzp2esQ7uVoQz0g,2021-03-06
UCvHqtUsAycw43HwfBQsCj2g,2018-04-24
UCLkAepWjdylmXSltofFvsYQ,2012-12-17
UCD-miitqNY3nyukJ4Fnf4_A,2018-01-31
UCdMGYXL38w6htx6Yf9YJa-w,2020-07-20
UCTyKZzmKi95wxmCg9rU-j6Q,2018-12-20
UCFf21op6Q2OG_H7-pQmCc_Q,2020-04-08
UCeqzO--saSm3FxOYxceZzrA,2014-04-01
UCX7YkU9nEeaoZbkVLVajcMg,2018-01-31
UCkGCQ4TN-8gvb8QCYIqygHw,2019-10-09
UCBo1hnzxV9rz3WVsv__Rn1g,2019-12-17
UCdAHaWcKdpbT5XkN2Er6BUQ,2017-07-25
UC8T8_deSUS97DWZeKO_TL9Q,2022-11-15
UC3IZKseVpdzPSBaWxBxundA,2008-06-04
UCSPkmZyeHlDNE-6YMSg5Fbg,2015-10-26
UCCTMMUDmBo6PXc7GmVHPrkw,2015-06-25
UC9cWgCidXQGAhx9kuwmnAHw,2020-09-03
UCFImmanh2iGuONPpUTf4-Wg,2019-04-13
UCMJiPpN_09F0aWpQrgbc_qg,2014-03-01
UCB9e3pof1o83aa0kkaoeJGA,2016-01-31
UCWcEgYIOqq1BVr4Qm1sPuVg,2012-10-07
UCLhgIX2L5ZCaWdlaxR_oTAg,2014-01-16
UC9zY_E8mcAo_Oq772LEZq8Q,2019-11-05
UCStFsybJM6SjDFvcacVcanw,2019-10-09
UCmr9bYmymcBmQ1p2tLBRvwg,2016-02-05
UCOg6J99CiUeh_LcETWRFxoA,2024-06-14
UCGmO0S4S-AunjRdmxA6TQYg,2015-12-02
UCypYz0HzH-2oL7mdP-JK2yQ,2020-05-25
UC78zfX-wGho3o6MrrnzLzMw,2015-05-21
UC24T2Vj2uSukiOwWcpG_9fA,2017-01-11
UCtTzAeUzuCKihDS1BECX9QA,2013-06-19
UCSCKAUrOcDbgPJU5RriNROw,2021-09-28
UC9NrE2wN9BO9TWYPhGADnHA,2020-08-26
UChex1vr4WtFu-OsAukjuYCA,2020-04-02
UCmiivdWbzuVQKMljjvfVjqQ,2019-12-02
UCIR2mQ77wHrLMreV45nYhgw,2020-02-20
UCM_Ll26nXOkscq0YSpBmgyg,2015-03-01
UC__AsSnEuyVgO9TWvZE_ziA,2012-02-27
UCfumhU709DobTeoD6ITmhKQ,2020-07-01
UCsmXiDP8S40uBeJYxvyulmA,2019-12-09
UCLHTn2UQNUpSheL816CNa7w,2021-02-04
UCU69jxPesoWw5I4WmOMBx-Q,2015-11-20
UCW8Q9LBGGBgK6a-u0C0h95A,2022-02-13
UCZ2MfK6kPxHZZqp5FTZyv4g,2019-03-21
UCQhxtM_x7tu0Nm35zBAaLfA,2017-06-26
UC1_M6ZHhcyS_YTYw7S8RECQ,2020-02-14
UCyck8jJ1yQzy82rLJ5nv8Gg,2011-02-12
UCi_AquB9uaI3-9xXkuWG7IQ,2021-07-30
UCB1dgsqLiEp57oDAyNV_vww,2019-06-07
UCOnA15zQ7OafLsnN8J-CMvg,2020-08-03
