Pais_Codigo,Video_ID,Video_Snapshot_Data
US,cIAoz2ebBoU,2024-11-01
US,mo_o9tKZk3s,2024-11-01
US,tvwIvXJHncE,2024-11-01
US,qS1K84Nq6wU,2024-11-01
US,yadxxTWxO88,2024-11-01
US,RhDFW32GpDM,2024-11-01
US,eC77RIAsAuc,2024-11-01
US,bWRGkTOjM6w,2024-11-01
US,aZlRG12Ami8,2024-11-01
US,QxTkZTLWdo4,2024-11-01
US,ZyVjEdcFSO0,2024-11-01
US,zMlUkCazBKM,2024-11-01
US,bVAgSyKDOfk,2024-11-01
US,4Sw227bIK_Y,2024-11-01
US,eIf3fhMXAow,2024-11-01
US,6fuOdzOR9U8,2024-11-01
US,Fy5BMlwlh4o,2024-11-01
US,hQ2f7dI41hM,2024-11-01
US,SFddctbZzw8,2024-11-01
US,VM_orUzVh9E,2024-11-01
US,EGbAtvAhnmU,2024-11-01
US,1zCx_FL1Hvw,2024-11-01
US,4Dr7HljrsoQ,2024-11-01
US,VJe-B9TeGy8,2024-11-01
US,G1WgoZVIXbw,2024-11-01
US,1-D2dEw2ihw,2024-11-01
US,y38qQRg3UDI,2024-11-01
US,PWjZ3p1jNho,2024-11-01
US,j7IBqyFKT4c,2024-11-01
US,Mni29nk4vbE,2024-11-01
US,U7WFiH66tRw,2024-11-01
US,FVON5lJX67E,2024-11-01
US,Sih0v01Wbek,2024-11-01
US,8Ro085T0mnQ,2024-11-01
US,Qt6YiVZLhG0,2024-11-01
US,IEzgtBOt4bU,2024-11-01
US,-_FuXbJncIk,2024-11-01
US,4KaXGHr6Mh4,2024-11-01
US,NZfRFEgZeIw,2024-11-01
US,8Ebqe2Dbzls,2024-11-01
US,W8l6_ROPvJw,2024-11-01
US,c5TxT7OjYZg,2024-11-01
US,bfq7mNrKGU4,2024-11-01
US,wxwkddJkn_8,2024-11-01
US,P3eDn06cZA8,2024-11-01
US,k_6VDtFnUDA,2024-11-01
US,etsXknHtGUs,2024-11-01
