ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
hCcwCv3G1FQ,UCo1DYcm1IZ9v3UPkpiAcgtg,2024-10-28,10
CIdUQxDlYW4,UCbAwSkqJ1W_Eg7wr3cp5BUA,2024-10-29,22
vxbCfIYUSh8,UCYVinkwSX7szARULgYpvhLw,2024-11-02,20
g3UTptQz-JI,UCt-GOpCw4dOBlIyqL9A1ztA,2024-10-31,1
J8orRDSOiiw,UCodbH5mUeF-m_BsNueRDjcw,2024-10-31,27
yM7ECLIhsAc,UCvC4D8onUfXzvjTOM-dBfEA,2024-10-30,24
qJI-ApEMxjs,UCB_qr75-ydFVKSF9Dmo6izg,2024-11-02,17
D7F42F_JM3U,UCqwxMqUcL-XC3D9-fTP93Mg,2024-11-01,10
G0JWA18cDbM,UCQF0f62JXnfFSxKDmN8SDUg,2024-11-02,27
pm_G1sXjUIA,UCA61H4fWOMHikLcUFKyQUog,2024-10-30,10
Qx88zndTGp8,UC4rqhyiTs7XyuODcECvuiiQ,2024-10-31,20
7-LgFR2Enj4,UC0jPwNs4B7yJySNewHan5hQ,2024-10-27,17
Oc91iOxcB3c,UCGwu0nbY2wSkW8N-cghnLpA,2024-10-26,1
VLPgxODl8Rw,UCFN4JkGP_bVhAdBsoV9xftA,2024-10-31,17
DQ5EeImWYaI,UCGIY_O-8vW4rfX98KlMkvRg,2024-10-30,20
3efwPrjwNVY,UCB_qr75-ydFVKSF9Dmo6izg,2024-10-27,17
8jf2hNiBKYs,UCD1Em4q90ZUK2R5HKesszJg,2024-10-31,20
nW9yQVql_kA,UC2FZQeaJkpnO6IMkQglvPsg,2024-10-27,2
VwCq09PzYRY,UCqagxSZd0poU7LcVg3lTp0A,2024-11-02,22
5TlxFXFi8UU,UCFDsxSlQXpLLpVScy2NmbcQ,2024-10-30,20
mxVP7nNzzBo,UCEbVfdA43w83_ilZ1ZlZH3Q,2024-11-02,1
2G9Wu6IKNy8,UCm3T3KS21z4d77tt081bVRQ,2024-10-29,22
tiiq462mV3w,UC33-OkQ6VCYk8xtml8Pk4-g,2024-10-27,17
