ID,Canal_ID,Data_hora_de_publicacao,Categoria_ID
QVQE4mNdq3w,UC_1O5w8-Gv812YiZwxd1qSw,2024-11-01,23
gK_Oxze8-rY,UCNqktdxgAADBj36dC7VGOgg,2024-10-24,24
ATkXEajCe6o,UCCbW0FO6y14X0eEREEkUq3A,2024-10-30,2
WfQPfGlnwA0,UCgxTPTFbIbCWfTR9I2-5SeQ,2024-10-31,25
4UvO3SPFiVU,UCAvrIl6ltV8MdJo3mV4Nl4Q,2024-10-31,20
nSIfIYNrpYQ,UCQeGq915GhiFlOE-fuoXGKQ,2024-10-30,25
KvBVw42M3f4,UCLTgbvgydbIU3OQ0Z-PpTpA,2024-10-30,10
OX4diyvRMEU,UC-0PebZ8l-aQvGnf8Poj9ng,2024-10-30,10
afSCaKxQv7s,UCYsVtR0mpHEOON2YsycCFWA,2024-10-30,23
2gsx_ZpsfdA,UC6HKWohA11bBbyob7ieP-0g,2024-10-29,20
8xOs82z50UI,UCaCyjTZo0yY2UoKxASfms9w,2024-10-30,26
To0IngWiEbw,UCvydDeIzW2UDNO7eCqmmGdw,2024-10-29,23
I1ePvaVlPmg,UC9XJvt8OT-9_8QHDBdqocaw,2024-10-29,2
78dSBMjxUsk,UCnXuj5Q9vmJjNbgkQw9qgnA,2024-10-30,24
5x8fGOKevWI,UCDUJu_bQH68A4FXij5P_8MQ,2024-10-29,26
K1c6yR43pCc,UCGkWnDo79DJX4raTx73NidA,2024-10-29,10
uWBkcuEC60Q,UCQDVQ8Bf-b9ibGvfRR3UoUw,2024-10-29,22
